hour, t(sec), |V|1 (volts), |V|2 (volts), |I|1 (amps), |I|2 (amps)
0, 900.00000, 2438.36, 0, 6.93309, 6.93309
0, 1800.00000, 2438.37, 0, 6.93278, 6.93278
0, 2700.00000, 2449.04, 0, 6.18124, 6.18124
1, 0.00000, 2449.04, 0, 6.18128, 6.18128
1, 900.00000, 2449.04, 0, 6.18128, 6.18128
1, 1800.00000, 2460.98, 0, 5.68433, 5.68433
1, 2700.00000, 2460.99, 0, 5.68424, 5.68424
2, 0.00000, 2460.99, 0, 5.68424, 5.68424
2, 900.00000, 2460.99, 0, 5.68424, 5.68424
2, 1800.00000, 2460.99, 0, 5.68424, 5.68424
2, 2700.00000, 2479.99, 0, 5.48827, 5.48827
3, 0.00000, 2479.99, 0, 5.4883, 5.4883
3, 900.00000, 2479.99, 0, 5.4883, 5.4883
3, 1800.00000, 2472.91, 0, 5.27423, 5.27423
3, 2700.00000, 2472.91, 0, 5.27436, 5.27436
4, 0.00000, 2472.91, 0, 5.27436, 5.27436
4, 900.00000, 2472.91, 0, 5.27436, 5.27436
4, 1800.00000, 2472.91, 0, 5.27436, 5.27436
4, 2700.00000, 2461.79, 0, 5.2707, 5.2707
5, 0.00000, 2461.79, 0, 5.27073, 5.27073
5, 900.00000, 2461.79, 0, 5.27073, 5.27073
5, 1800.00000, 2449.14, 0, 5.50084, 5.50084
5, 2700.00000, 2449.14, 0, 5.50084, 5.50084
6, 0.00000, 2449.14, 0, 5.50084, 5.50084
6, 900.00000, 2449.14, 0, 5.50084, 5.50084
6, 1800.00000, 2449.14, 0, 5.50084, 5.50084
6, 2700.00000, 2453.89, 0, 5.98698, 5.98698
7, 0.00000, 2453.9, 0, 5.98678, 5.98678
7, 900.00000, 2453.9, 0, 5.98678, 5.98678
7, 1800.00000, 2456.24, 0, 6.80705, 6.80705
7, 2700.00000, 2456.24, 0, 6.80678, 6.80678
8, 0.00000, 2456.24, 0, 6.80678, 6.80678
8, 900.00000, 2456.24, 0, 6.80678, 6.80678
8, 1800.00000, 2456.24, 0, 6.80678, 6.80678
8, 2700.00000, 2463.84, 0, 7.55094, 7.55094
9, 0.00000, 2463.84, 0, 7.55085, 7.55085
9, 900.00000, 2463.84, 0, 7.55085, 7.55085
9, 1800.00000, 2470.39, 0, 7.96542, 7.96542
9, 2700.00000, 2470.41, 0, 7.96526, 7.96526
10, 0.00000, 2470.41, 0, 7.96525, 7.96525
10, 900.00000, 2470.41, 0, 7.96525, 7.96525
10, 1800.00000, 2470.41, 0, 7.96525, 7.96525
10, 2700.00000, 2479.99, 0, 8.47554, 8.47554
11, 0.00000, 2480.01, 0, 8.47541, 8.47541
11, 900.00000, 2480.01, 0, 8.4754, 8.4754
11, 1800.00000, 2466.54, 0, 8.96598, 8.96598
11, 2700.00000, 2466.55, 0, 8.96586, 8.96586
12, 0.00000, 2466.55, 0, 8.96585, 8.96585
12, 900.00000, 2466.55, 0, 8.96585, 8.96585
12, 1800.00000, 2466.55, 0, 8.96585, 8.96585
12, 2700.00000, 2464.26, 0, 8.93796, 8.93796
13, 0.00000, 2464.27, 0, 8.93786, 8.93786
13, 900.00000, 2464.27, 0, 8.93785, 8.93785
13, 1800.00000, 2471.1, 0, 8.86804, 8.86804
13, 2700.00000, 2471.1, 0, 8.86789, 8.86789
14, 0.00000, 2471.1, 0, 8.86789, 8.86789
14, 900.00000, 2471.1, 0, 8.86789, 8.86789
14, 1800.00000, 2471.1, 0, 8.86789, 8.86789
14, 2700.00000, 2463.38, 0, 8.98443, 8.98443
15, 0.00000, 2463.37, 0, 8.98468, 8.98468
15, 900.00000, 2463.37, 0, 8.98469, 8.98469
15, 1800.00000, 2448.53, 0, 9.12322, 9.12322
15, 2700.00000, 2448.54, 0, 9.12311, 9.12311
16, 0.00000, 2448.54, 0, 9.1231, 9.1231
16, 900.00000, 2448.54, 0, 9.1231, 9.1231
16, 1800.00000, 2448.54, 0, 9.1231, 9.1231
16, 2700.00000, 2453.95, 0, 9.11237, 9.11237
17, 0.00000, 2453.96, 0, 9.11209, 9.11209
17, 900.00000, 2453.96, 0, 9.11209, 9.11209
17, 1800.00000, 2458.03, 0, 8.7148, 8.7148
17, 2700.00000, 2458.01, 0, 8.71498, 8.71498
18, 0.00000, 2458.01, 0, 8.71499, 8.71499
18, 900.00000, 2458.01, 0, 8.715, 8.715
18, 1800.00000, 2458.01, 0, 8.715, 8.715
18, 2700.00000, 2440.16, 0, 8.57724, 8.57724
19, 0.00000, 2440.17, 0, 8.57712, 8.57712
19, 900.00000, 2440.17, 0, 8.57712, 8.57712
19, 1800.00000, 2460.88, 0, 8.29601, 8.29601
19, 2700.00000, 2460.88, 0, 8.29593, 8.29593
20, 0.00000, 2460.88, 0, 8.29593, 8.29593
20, 900.00000, 2460.88, 0, 8.29593, 8.29593
20, 1800.00000, 2460.88, 0, 8.29593, 8.29593
20, 2700.00000, 2474.17, 0, 7.91674, 7.91674
21, 0.00000, 2474.17, 0, 7.91698, 7.91698
21, 900.00000, 2474.17, 0, 7.91699, 7.91699
21, 1800.00000, 2474.17, 0, 7.91699, 7.91699
21, 2700.00000, 2474.17, 0, 7.91699, 7.91699
22, 0.00000, 2474.17, 0, 7.91699, 7.91699
22, 900.00000, 2474.17, 0, 7.91699, 7.91699
22, 1800.00000, 2474.17, 0, 7.91699, 7.91699
22, 2700.00000, 2461.09, 0, 7.52275, 7.52275
23, 0.00000, 2461.08, 0, 7.52297, 7.52297
23, 900.00000, 2461.08, 0, 7.52297, 7.52297
23, 1800.00000, 2470.18, 0, 6.84362, 6.84362
23, 2700.00000, 2470.18, 0, 6.84349, 6.84349
24, 0.00000, 2470.18, 0, 6.84349, 6.84349
