hour, t(sec), |V|1 (volts), |V|2 (volts), |I|1 (amps), |I|2 (amps)
0, 900.00000, 2460, 0, 13.7435, 13.7435
0, 1800.00000, 2460, 0, 13.7436, 13.7436
0, 2700.00000, 2467.86, 0, 12.2683, 12.2683
1, 0.00000, 2467.86, 0, 12.2683, 12.2683
1, 900.00000, 2467.86, 0, 12.2683, 12.2683
1, 1800.00000, 2476.54, 0, 11.2971, 11.2971
1, 2700.00000, 2476.53, 0, 11.2971, 11.2971
2, 0.00000, 2476.53, 0, 11.2971, 11.2971
2, 900.00000, 2476.53, 0, 11.2971, 11.2971
2, 1800.00000, 2476.53, 0, 11.2971, 11.2971
2, 2700.00000, 2490.08, 0, 10.9321, 10.9321
3, 0.00000, 2490.08, 0, 10.9322, 10.9322
3, 900.00000, 2490.08, 0, 10.9321, 10.9321
3, 1800.00000, 2496.81, 0, 10.4478, 10.4478
3, 2700.00000, 2496.81, 0, 10.4477, 10.4477
4, 0.00000, 2496.81, 0, 10.4477, 10.4477
4, 900.00000, 2496.81, 0, 10.4477, 10.4477
4, 1800.00000, 2496.81, 0, 10.4477, 10.4477
4, 2700.00000, 2488.87, 0, 10.4268, 10.4268
5, 0.00000, 2488.87, 0, 10.4268, 10.4268
5, 900.00000, 2488.87, 0, 10.4268, 10.4268
5, 1800.00000, 2479.74, 0, 10.866, 10.866
5, 2700.00000, 2479.75, 0, 10.8659, 10.8659
6, 0.00000, 2479.75, 0, 10.8659, 10.8659
6, 900.00000, 2479.75, 0, 10.8659, 10.8659
6, 1800.00000, 2479.75, 0, 10.8659, 10.8659
6, 2700.00000, 2476.3, 0, 11.8651, 11.8651
7, 0.00000, 2476.29, 0, 11.8653, 11.8653
7, 900.00000, 2476.29, 0, 11.8653, 11.8653
7, 1800.00000, 2471.12, 0, 13.5316, 13.5316
7, 2700.00000, 2471.13, 0, 13.5315, 13.5315
8, 0.00000, 2471.13, 0, 13.5315, 13.5315
8, 900.00000, 2471.13, 0, 13.5315, 13.5315
8, 1800.00000, 2471.13, 0, 13.5315, 13.5315
8, 2700.00000, 2480.19, 0, 15.0021, 15.0021
9, 0.00000, 2480.19, 0, 15.0021, 15.0021
9, 900.00000, 2480.19, 0, 15.0021, 15.0021
9, 1800.00000, 2493.57, 0, 15.7818, 15.7818
9, 2700.00000, 2493.55, 0, 15.7826, 15.7826
10, 0.00000, 2493.55, 0, 15.7826, 15.7826
10, 900.00000, 2493.55, 0, 15.7826, 15.7826
10, 1800.00000, 2493.55, 0, 15.7826, 15.7826
10, 2700.00000, 2497.3, 0, 16.8327, 16.8327
11, 0.00000, 2497.28, 0, 16.8335, 16.8335
11, 900.00000, 2497.28, 0, 16.8335, 16.8335
11, 1800.00000, 2491.57, 0, 17.7508, 17.7508
11, 2700.00000, 2491.55, 0, 17.7518, 17.7518
12, 0.00000, 2491.55, 0, 17.7518, 17.7518
12, 900.00000, 2491.55, 0, 17.7518, 17.7518
12, 1800.00000, 2491.55, 0, 17.7518, 17.7518
12, 2700.00000, 2492.81, 0, 17.6702, 17.6702
13, 0.00000, 2492.78, 0, 17.6712, 17.6712
13, 900.00000, 2492.78, 0, 17.6712, 17.6712
13, 1800.00000, 2497.48, 0, 17.548, 17.548
13, 2700.00000, 2497.47, 0, 17.5485, 17.5485
14, 0.00000, 2497.47, 0, 17.5485, 17.5485
14, 900.00000, 2497.47, 0, 17.5485, 17.5485
14, 1800.00000, 2497.47, 0, 17.5485, 17.5485
14, 2700.00000, 2492.7, 0, 17.7587, 17.7587
15, 0.00000, 2492.72, 0, 17.7578, 17.7578
15, 900.00000, 2492.72, 0, 17.7578, 17.7578
15, 1800.00000, 2481.37, 0, 18.004, 18.004
15, 2700.00000, 2481.34, 0, 18.005, 18.005
