hour, t(sec), |V|1 (volts), |V|2 (volts), |I|1 (amps), |I|2 (amps)
0, 900.00000, 2453.51, 0, 6.88989, 6.88989
0, 1800.00000, 2453.51, 0, 6.88999, 6.88999
0, 2700.00000, 2460.25, 0, 6.15309, 6.15309
1, 0.00000, 2460.25, 0, 6.1531, 6.1531
1, 900.00000, 2460.25, 0, 6.1531, 6.1531
1, 1800.00000, 2468.18, 0, 5.66767, 5.66767
1, 2700.00000, 2468.18, 0, 5.66768, 5.66768
2, 0.00000, 2468.18, 0, 5.66768, 5.66768
2, 900.00000, 2468.18, 0, 5.66768, 5.66768
2, 1800.00000, 2468.18, 0, 5.66768, 5.66768
2, 2700.00000, 2481.38, 0, 5.48522, 5.48522
3, 0.00000, 2481.38, 0, 5.48523, 5.48523
3, 900.00000, 2481.38, 0, 5.48523, 5.48523
3, 1800.00000, 2487.65, 0, 5.24316, 5.24316
3, 2700.00000, 2487.65, 0, 5.2431, 5.2431
4, 0.00000, 2487.65, 0, 5.2431, 5.2431
4, 900.00000, 2487.65, 0, 5.2431, 5.2431
4, 1800.00000, 2487.65, 0, 5.2431, 5.2431
4, 2700.00000, 2479.74, 0, 5.23258, 5.23258
5, 0.00000, 2479.74, 0, 5.23258, 5.23258
5, 900.00000, 2479.74, 0, 5.23258, 5.23258
5, 1800.00000, 2470.98, 0, 5.45228, 5.45228
5, 2700.00000, 2470.98, 0, 5.45221, 5.45221
6, 0.00000, 2470.98, 0, 5.45221, 5.45221
6, 900.00000, 2470.98, 0, 5.45221, 5.45221
6, 1800.00000, 2470.98, 0, 5.45221, 5.45221
6, 2700.00000, 2468.66, 0, 5.95089, 5.95089
7, 0.00000, 2468.66, 0, 5.95099, 5.95099
7, 900.00000, 2468.66, 0, 5.95099, 5.95099
7, 1800.00000, 2465.11, 0, 6.78231, 6.78231
7, 2700.00000, 2465.12, 0, 6.78227, 6.78227
8, 0.00000, 2465.12, 0, 6.78226, 6.78226
8, 900.00000, 2465.12, 0, 6.78226, 6.78226
8, 1800.00000, 2465.12, 0, 6.78226, 6.78226
8, 2700.00000, 2475.45, 0, 7.51543, 7.51543
9, 0.00000, 2475.45, 0, 7.51544, 7.51544
9, 900.00000, 2475.45, 0, 7.51544, 7.51544
9, 1800.00000, 2489.83, 0, 7.90278, 7.90278
9, 2700.00000, 2489.81, 0, 7.90315, 7.90315
10, 0.00000, 2489.82, 0, 7.90316, 7.90316
10, 900.00000, 2489.82, 0, 7.90316, 7.90316
10, 1800.00000, 2489.82, 0, 7.90316, 7.90316
10, 2700.00000, 2495.18, 0, 8.42352, 8.42352
11, 0.00000, 2495.17, 0, 8.4239, 8.4239
11, 900.00000, 2495.17, 0, 8.4239, 8.4239
11, 1800.00000, 2490.37, 0, 8.87972, 8.87972
11, 2700.00000, 2490.35, 0, 8.88015, 8.88015
12, 0.00000, 2490.35, 0, 8.88016, 8.88016
12, 900.00000, 2490.35, 0, 8.88016, 8.88016
12, 1800.00000, 2490.35, 0, 8.88016, 8.88016
12, 2700.00000, 2491.69, 0, 8.83912, 8.83912
13, 0.00000, 2491.67, 0, 8.83955, 8.83955
13, 900.00000, 2491.67, 0, 8.83956, 8.83956
13, 1800.00000, 2496.26, 0, 8.77833, 8.77833
13, 2700.00000, 2496.25, 0, 8.77856, 8.77856
14, 0.00000, 2496.25, 0, 8.77857, 8.77857
14, 900.00000, 2496.25, 0, 8.77857, 8.77857
14, 1800.00000, 2496.25, 0, 8.77857, 8.77857
14, 2700.00000, 2491.68, 0, 8.88295, 8.88295
15, 0.00000, 2491.7, 0, 8.88256, 8.88256
15, 900.00000, 2491.7, 0, 8.88255, 8.88255
15, 1800.00000, 2480.56, 0, 9.00498, 9.00498
15, 2700.00000, 2480.53, 0, 9.00545, 9.00545
16, 0.00000, 2480.53, 0, 9.00546, 9.00546
16, 900.00000, 2480.53, 0, 9.00546, 9.00546
16, 1800.00000, 2480.53, 0, 9.00546, 9.00546
16, 2700.00000, 2464.17, 0, 9.07417, 9.07417
17, 0.00000, 2464.17, 0, 9.07433, 9.07433
17, 900.00000, 2464.17, 0, 9.07433, 9.07433
17, 1800.00000, 2471.75, 0, 8.66695, 8.66695
17, 2700.00000, 2471.77, 0, 8.66647, 8.66647
18, 0.00000, 2471.77, 0, 8.66646, 8.66646
18, 900.00000, 2471.77, 0, 8.66646, 8.66646
18, 1800.00000, 2471.77, 0, 8.66646, 8.66646
18, 2700.00000, 2460.01, 0, 8.50807, 8.50807
19, 0.00000, 2460.01, 0, 8.50794, 8.50794
19, 900.00000, 2460.01, 0, 8.50794, 8.50794
19, 1800.00000, 2468.81, 0, 8.26938, 8.26938
19, 2700.00000, 2468.81, 0, 8.26928, 8.26928
20, 0.00000, 2468.81, 0, 8.26928, 8.26928
20, 900.00000, 2468.81, 0, 8.26928, 8.26928
20, 1800.00000, 2468.81, 0, 8.26928, 8.26928
20, 2700.00000, 2488.6, 0, 7.8712, 7.8712
21, 0.00000, 2488.6, 0, 7.87107, 7.87107
21, 900.00000, 2488.6, 0, 7.87107, 7.87107
21, 1800.00000, 2488.6, 0, 7.87107, 7.87107
21, 2700.00000, 2488.6, 0, 7.87107, 7.87107
22, 0.00000, 2488.6, 0, 7.87107, 7.87107
22, 900.00000, 2488.6, 0, 7.87107, 7.87107
22, 1800.00000, 2488.6, 0, 7.87107, 7.87107
22, 2700.00000, 2479.03, 0, 7.46844, 7.46844
23, 0.00000, 2479.03, 0, 7.46851, 7.46851
23, 900.00000, 2479.03, 0, 7.46851, 7.46851
23, 1800.00000, 2484.75, 0, 6.80338, 6.80338
23, 2700.00000, 2484.75, 0, 6.80338, 6.80338
24, 0.00000, 2484.75, 0, 6.80338, 6.80338
