hour, t(sec), |V|1 (volts), |V|2 (volts), |I|1 (amps), |I|2 (amps)
0, 900.00000, 2439.17, 0, 14.3174, 14.3174
0, 1800.00000, 2439.16, 0, 14.3171, 14.3171
0, 2700.00000, 2439.66, 0, 12.8237, 12.8237
1, 0.00000, 2439.65, 0, 12.8236, 12.8236
1, 900.00000, 2439.65, 0, 12.8236, 12.8236
1, 1800.00000, 2442.04, 0, 11.8615, 11.8615
1, 2700.00000, 2442.04, 0, 11.8615, 11.8615
2, 0.00000, 2442.04, 0, 11.8615, 11.8615
2, 900.00000, 2442.04, 0, 11.8615, 11.8615
2, 1800.00000, 2442.04, 0, 11.8615, 11.8615
2, 2700.00000, 2441.67, 0, 11.5395, 11.5395
3, 0.00000, 2441.67, 0, 11.5394, 11.5394
3, 900.00000, 2441.67, 0, 11.5394, 11.5394
3, 1800.00000, 2442.39, 0, 11.0612, 11.0612
3, 2700.00000, 2442.39, 0, 11.0611, 11.0611
4, 0.00000, 2442.39, 0, 11.0611, 11.0611
4, 900.00000, 2442.39, 0, 11.0611, 11.0611
4, 1800.00000, 2442.39, 0, 11.0611, 11.0611
4, 2700.00000, 2442.06, 0, 11.0024, 11.0024
5, 0.00000, 2442.06, 0, 11.0024, 11.0024
5, 900.00000, 2442.06, 0, 11.0024, 11.0024
5, 1800.00000, 2441.95, 0, 11.423, 11.423
5, 2700.00000, 2441.96, 0, 11.4232, 11.4232
6, 0.00000, 2441.96, 0, 11.4232, 11.4232
6, 900.00000, 2441.96, 0, 11.4232, 11.4232
6, 1800.00000, 2441.96, 0, 11.4232, 11.4232
6, 2700.00000, 2440.83, 0, 12.4507, 12.4507
7, 0.00000, 2440.83, 0, 12.4508, 12.4508
7, 900.00000, 2440.83, 0, 12.4508, 12.4508
7, 1800.00000, 2439.38, 0, 14.1613, 14.1613
7, 2700.00000, 2439.38, 0, 14.1612, 14.1612
8, 0.00000, 2439.38, 0, 14.1612, 14.1612
8, 900.00000, 2439.38, 0, 14.1612, 14.1612
8, 1800.00000, 2439.38, 0, 14.1612, 14.1612
8, 2700.00000, 2437.71, 0, 15.7469, 15.7469
9, 0.00000, 2437.71, 0, 15.747, 15.747
9, 900.00000, 2437.71, 0, 15.747, 15.747
9, 1800.00000, 2437.07, 0, 16.6511, 16.6511
9, 2700.00000, 2437.07, 0, 16.6511, 16.6511
10, 0.00000, 2437.07, 0, 16.6511, 16.6511
10, 900.00000, 2437.07, 0, 16.6511, 16.6511
10, 1800.00000, 2437.07, 0, 16.6511, 16.6511
10, 2700.00000, 2450.99, 0, 17.8881, 17.8881
11, 0.00000, 2450.99, 0, 17.888, 17.888
11, 900.00000, 2450.99, 0, 17.888, 17.888
11, 1800.00000, 2450.01, 0, 18.8129, 18.8129
11, 2700.00000, 2450.01, 0, 18.813, 18.813
12, 0.00000, 2450.01, 0, 18.813, 18.813
