hour, t(sec), |V|1 (volts), |V|2 (volts), |I|1 (amps), |I|2 (amps)
0, 900.00000, 2417.34, 0, 13.9862, 13.9862
0, 1800.00000, 2417.34, 0, 13.9862, 13.9862
0, 2700.00000, 2430.53, 0, 12.4567, 12.4567
1, 0.00000, 2430.53, 0, 12.4567, 12.4567
1, 900.00000, 2430.53, 0, 12.4567, 12.4567
1, 1800.00000, 2432.4, 0, 11.5021, 11.5021
1, 2700.00000, 2432.4, 0, 11.5021, 11.5021
2, 0.00000, 2432.4, 0, 11.5021, 11.5021
2, 900.00000, 2432.4, 0, 11.5021, 11.5021
2, 1800.00000, 2432.4, 0, 11.5021, 11.5021
2, 2700.00000, 2435.26, 0, 11.1782, 11.1782
3, 0.00000, 2435.26, 0, 11.1782, 11.1782
3, 900.00000, 2435.26, 0, 11.1782, 11.1782
3, 1800.00000, 2436.52, 0, 10.7062, 10.7062
3, 2700.00000, 2436.52, 0, 10.7063, 10.7063
4, 0.00000, 2436.52, 0, 10.7063, 10.7063
4, 900.00000, 2436.52, 0, 10.7063, 10.7063
4, 1800.00000, 2436.52, 0, 10.7063, 10.7063
4, 2700.00000, 2434.87, 0, 10.658, 10.658
5, 0.00000, 2434.87, 0, 10.658, 10.658
5, 900.00000, 2434.87, 0, 10.658, 10.658
5, 1800.00000, 2432.94, 0, 11.0749, 11.0749
5, 2700.00000, 2432.94, 0, 11.0749, 11.0749
6, 0.00000, 2432.94, 0, 11.0749, 11.0749
6, 900.00000, 2432.94, 0, 11.0749, 11.0749
6, 1800.00000, 2432.94, 0, 11.0749, 11.0749
6, 2700.00000, 2431.75, 0, 12.0827, 12.0827
7, 0.00000, 2431.75, 0, 12.0826, 12.0826
7, 900.00000, 2431.75, 0, 12.0826, 12.0826
7, 1800.00000, 2430.16, 0, 13.7597, 13.7597
7, 2700.00000, 2430.16, 0, 13.7597, 13.7597
8, 0.00000, 2430.16, 0, 13.7597, 13.7597
8, 900.00000, 2430.16, 0, 13.7597, 13.7597
8, 1800.00000, 2430.16, 0, 13.7597, 13.7597
8, 2700.00000, 2431.5, 0, 15.3026, 15.3026
9, 0.00000, 2431.5, 0, 15.3026, 15.3026
9, 900.00000, 2431.5, 0, 15.3026, 15.3026
9, 1800.00000, 2433.11, 0, 16.1747, 16.1747
9, 2700.00000, 2433.12, 0, 16.1746, 16.1746
10, 0.00000, 2433.12, 0, 16.1746, 16.1746
10, 900.00000, 2433.12, 0, 16.1746, 16.1746
10, 1800.00000, 2433.12, 0, 16.1746, 16.1746
10, 2700.00000, 2435.42, 0, 17.2611, 17.2611
11, 0.00000, 2435.42, 0, 17.2611, 17.2611
11, 900.00000, 2435.42, 0, 17.2611, 17.2611
11, 1800.00000, 2433.68, 0, 18.1739, 18.1739
11, 2700.00000, 2433.68, 0, 18.1739, 18.1739
12, 0.00000, 2433.68, 0, 18.1739, 18.1739
12, 900.00000, 2433.68, 0, 18.1739, 18.1739
12, 1800.00000, 2433.68, 0, 18.1739, 18.1739
12, 2700.00000, 2433.35, 0, 18.1029, 18.1029
13, 0.00000, 2433.35, 0, 18.1028, 18.1028
13, 900.00000, 2433.35, 0, 18.1028, 18.1028
13, 1800.00000, 2434.33, 0, 18.0037, 18.0037
13, 2700.00000, 2434.33, 0, 18.0037, 18.0037
14, 0.00000, 2434.33, 0, 18.0037, 18.0037
14, 900.00000, 2434.33, 0, 18.0037, 18.0037
14, 1800.00000, 2434.33, 0, 18.0037, 18.0037
14, 2700.00000, 2434.67, 0, 18.1812, 18.1812
15, 0.00000, 2434.67, 0, 18.1812, 18.1812
15, 900.00000, 2434.67, 0, 18.1812, 18.1812
15, 1800.00000, 2433.56, 0, 18.3586, 18.3586
15, 2700.00000, 2433.56, 0, 18.3586, 18.3586
16, 0.00000, 2433.56, 0, 18.3586, 18.3586
16, 900.00000, 2433.56, 0, 18.3586, 18.3586
16, 1800.00000, 2433.56, 0, 18.3586, 18.3586
16, 2700.00000, 2429.63, 0, 18.4067, 18.4067
17, 0.00000, 2429.63, 0, 18.4067, 18.4067
17, 900.00000, 2429.63, 0, 18.4067, 18.4067
17, 1800.00000, 2441.34, 0, 17.549, 17.549
17, 2700.00000, 2441.33, 0, 17.549, 17.549
18, 0.00000, 2441.33, 0, 17.549, 17.549
18, 900.00000, 2441.33, 0, 17.549, 17.549
18, 1800.00000, 2441.33, 0, 17.549, 17.549
18, 2700.00000, 2439.31, 0, 17.1603, 17.1603
19, 0.00000, 2439.31, 0, 17.1602, 17.1602
19, 900.00000, 2439.31, 0, 17.1602, 17.1602
19, 1800.00000, 2441.62, 0, 16.7227, 16.7227
19, 2700.00000, 2441.62, 0, 16.7227, 16.7227
20, 0.00000, 2441.62, 0, 16.7227, 16.7227
20, 900.00000, 2441.62, 0, 16.7227, 16.7227
20, 1800.00000, 2441.62, 0, 16.7227, 16.7227
20, 2700.00000, 2443.89, 0, 16.0301, 16.0301
21, 0.00000, 2443.9, 0, 16.0301, 16.0301
21, 900.00000, 2443.9, 0, 16.0301, 16.0301
21, 1800.00000, 2441.66, 0, 16.0447, 16.0447
21, 2700.00000, 2441.66, 0, 16.0448, 16.0448
22, 0.00000, 2441.66, 0, 16.0448, 16.0448
22, 900.00000, 2441.66, 0, 16.0448, 16.0448
22, 1800.00000, 2441.66, 0, 16.0448, 16.0448
22, 2700.00000, 2443.17, 0, 15.1562, 15.1562
23, 0.00000, 2443.18, 0, 15.1562, 15.1562
23, 900.00000, 2443.18, 0, 15.1562, 15.1562
23, 1800.00000, 2447.4, 0, 13.8143, 13.8143
23, 2700.00000, 2447.4, 0, 13.8144, 13.8144
